circuit,source,series,n_qubits,n_gates_original,depth_original,n_gates_distributed,depth_distributed_pytket,distributed_depth,epr_pairs,epr_pairs_builtin,status,error,qoala_total_time_us,total_requests,simulation_seed,simulation_runs,afa_punishment_time_us,hamfa_punishment_time_us,afa_blocked_requests,hamfa_blocked_requests,afa_mean_fidelity,hamfa_mean_fidelity,hamfa_memory_assisted_successful,hamfa_memory_assisted_not_successful,hamfa_all_photonic_used,hamfa_passed_t_cut,afa_punishment_time_us_std,hamfa_punishment_time_us_std,afa_blocked_requests_std,hamfa_blocked_requests_std,afa_mean_fidelity_std,hamfa_mean_fidelity_std,hamfa_memory_assisted_successful_std,hamfa_all_photonic_used_std
GHZ_State_q5,MQT Bench,GHZ State,5,19,11,21,12,12,1,1,ok,,672.961,1.0,192,30,4810.972900000001,295.41381161817316,1.0,0.16666666666666666,0.9796744718797616,0.9585643264127115,0.9333333333333333,0.06666666666666667,0.06666666666666667,0.0,4260.842022499708,867.704774973975,0.0,0.3790490217894517,0.0,0.013174033167009701,0.2537081317024625,0.2537081317024625
GHZ_State_q7,MQT Bench,GHZ State,7,27,15,29,16,16,1,1,ok,,672.961,1.0,252,30,4134.601,64.86033333333333,1.0,0.03333333333333333,0.9796744718797616,0.954235830632478,0.9666666666666667,0.0,0.03333333333333333,0.0,3322.6108480875655,355.25467653970924,0.0,0.18257418583505533,0.0,0.012216750705672364,0.18257418583505533,0.18257418583505533
GHZ_State_q9,MQT Bench,GHZ State,9,35,19,39,21,21,2,2,ok,,1307.422,2.0,312,30,10068.765599999999,728.7109082524976,2.0,0.3,0.9796744718797616,0.9567253419452937,1.8666666666666667,0.13333333333333333,0.13333333333333333,0.0,5588.334616966506,1785.077308724483,0.0,0.534983080621924,0.0,0.009254554797181482,0.3457459036417604,0.3457459036417604
GHZ_State_q11,MQT Bench,GHZ State,11,43,23,47,25,25,2,2,ok,,1318.422,2.0,372,30,8963.3701,3682.1107333333334,2.0,1.0666666666666667,0.9796744718797616,0.9672325927019997,1.3333333333333333,0.5666666666666667,0.6666666666666666,0.0,4282.256850277291,3434.5109814057996,0.0,0.2537081317024625,0.0,0.006860909609813601,0.6064784348631227,0.6064784348631228
GHZ_State_q13,MQT Bench,GHZ State,13,51,27,57,30,30,3,3,ok,,1303.393,3.0,432,30,12781.222766666668,1109.296838220179,2.966666666666667,0.5666666666666667,0.9796744718797616,0.9601320458367243,2.6333333333333333,0.23333333333333334,0.36666666666666664,0.0,6847.769842607308,1654.6230241571632,0.18257418583505533,0.7279320417946062,0.0,0.008575555229043555,0.6149478998583782,0.6149478998583782
GHZ_State_q15,MQT Bench,GHZ State,15,59,31,65,34,34,3,3,ok,,1303.393,3.0,492,30,13718.381233333332,1677.6169932686687,2.933333333333333,0.43333333333333335,0.9796744718797616,0.9595078073585214,2.7,0.26666666666666666,0.3,0.0,9756.271266380527,3861.6061525920204,0.2537081317024624,0.6260623155792925,0.0,0.005915680486851724,0.46609159969939906,0.466091599699399
GHZ_State_q17,MQT Bench,GHZ State,17,67,35,75,39,39,4,4,ok,,1579.864,4.0,552,30,17382.6958,1218.1415449515025,4.0,0.36666666666666664,0.9796744718797616,0.957845323035517,3.7333333333333334,0.26666666666666666,0.26666666666666666,0.0,7360.485611183504,2585.285578539775,0.0,0.4901325178535609,0.0,0.006717200609603345,0.44977644510880355,0.44977644510880355
GHZ_State_q19,MQT Bench,GHZ State,19,75,39,83,43,43,4,4,ok,,2730.344,4.0,612,30,16131.5439,1854.0131015211782,4.0,0.7666666666666667,0.9796744718797616,0.9601670889806435,3.533333333333333,0.43333333333333335,0.4666666666666667,0.0,6898.714997273519,2171.309856621153,0.0,0.7738543627276671,0.0,0.006161659161043664,0.571346463723366,0.5713464637233658
